,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,lname,sorted_date
179085,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,06/18/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11.0,A,06/18/2015,08/28/2017,Cycle Inspection / Re-inspection,1 darbar,2015-06-18
202814,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,06/18/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,06/18/2015,08/28/2017,Cycle Inspection / Re-inspection,1 darbar,2015-06-18
213807,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,12/22/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2015-12-22
299217,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,12/22/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2015-12-22
16152,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,01/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,01/21/2016,08/28/2017,Cycle Inspection / Re-inspection,1 darbar,2016-01-21
213206,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,01/21/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,01/21/2016,08/28/2017,Cycle Inspection / Re-inspection,1 darbar,2016-01-21
177991,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/08/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11.0,A,08/08/2016,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2016-08-08
238498,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/08/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,08/08/2016,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2016-08-08
370050,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/08/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,08/08/2016,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2016-08-08
55517,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/17/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2017-08-17
74468,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/17/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2017-08-17
102919,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/17/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2017-08-17
247579,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/17/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,25.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2017-08-17
326555,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,08/17/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2017-08-17
52162,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
114129,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
240781,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
244484,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
268766,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
275787,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
312025,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,04/15/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-04-15
6901,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,05/14/2014,08/28/2017,Cycle Inspection / Re-inspection,21 club,2014-05-14
228916,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,08/28/2017,Administrative Miscellaneous / Re-inspection,21 club,2014-05-14
235582,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,05/14/2014,08/28/2017,Cycle Inspection / Re-inspection,21 club,2014-05-14
268051,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,05/14/2014,08/28/2017,Cycle Inspection / Re-inspection,21 club,2014-05-14
349688,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,05/14/2014,08/28/2017,Cycle Inspection / Re-inspection,21 club,2014-05-14
382981,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,05/14/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,08/28/2017,Smoke-Free Air Act / Re-inspection,21 club,2014-05-14
95248,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/28/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-11-28
190213,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/28/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-11-28
272536,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/28/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-11-28
339472,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/28/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2014-11-28
148668,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,02/05/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,02/05/2015,08/28/2017,Cycle Inspection / Re-inspection,21 club,2015-02-05
161381,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,02/05/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,02/05/2015,08/28/2017,Cycle Inspection / Re-inspection,21 club,2015-02-05
188843,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,02/05/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11.0,A,02/05/2015,08/28/2017,Cycle Inspection / Re-inspection,21 club,2015-02-05
71426,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,09/09/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,6.0,A,09/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2015-09-09
75383,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,09/09/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,A,09/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2015-09-09
282591,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,09/09/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6.0,A,09/09/2015,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2015-09-09
281934,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/18/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2016-11-18
331196,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/18/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2016-11-18
378876,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,11/18/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,,,08/28/2017,Cycle Inspection / Initial Inspection,21 club,2016-11-18
39252,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,01/28/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,01/28/2017,08/28/2017,Cycle Inspection / Re-inspection,21 club,2017-01-28
270914,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,01/28/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,01/28/2017,08/28/2017,Cycle Inspection / Re-inspection,21 club,2017-01-28
83992,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,02/03/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,02/03/2014,08/28/2017,Cycle Inspection / Re-inspection,abc kitchen,2014-02-03
240060,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,02/03/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,02/03/2014,08/28/2017,Cycle Inspection / Re-inspection,abc kitchen,2014-02-03
257818,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,02/03/2014,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,08/28/2017,Administrative Miscellaneous / Re-inspection,abc kitchen,2014-02-03
153237,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/15/2014,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,09/15/2014,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2014-09-15
377417,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/15/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,09/15/2014,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2014-09-15
80842,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/16/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2015-09-16
246013,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/16/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2015-09-16
331364,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/16/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,21.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2015-09-16
309471,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,10/26/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11.0,A,10/26/2015,08/28/2017,Cycle Inspection / Re-inspection,abc kitchen,2015-10-26
319799,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,10/26/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,10/26/2015,08/28/2017,Cycle Inspection / Re-inspection,abc kitchen,2015-10-26
77588,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/27/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2016-09-27
96082,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/27/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2016-09-27
260581,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/27/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2016-09-27
363669,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,09/27/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19.0,,,08/28/2017,Cycle Inspection / Initial Inspection,abc kitchen,2016-09-27
342251,41162796,ABC KITCHEN,MANHATTAN,35,EAST   18 STREET,10003.0,2124755829,American,01/11/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,01/11/2017,08/28/2017,Cycle Inspection / Re-inspection,abc kitchen,2017-01-11
185551,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,09/16/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,09/16/2014,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2014-09-16
306052,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,09/16/2014,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,11.0,A,09/16/2014,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2014-09-16
115433,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,08/28/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2015-08-28
177849,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,08/28/2015,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2015-08-28
183840,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,08/28/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2015-08-28
184761,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,08/28/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20.0,,,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2015-08-28
11424,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,09/17/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,09/17/2015,08/28/2017,Cycle Inspection / Re-inspection,ai fiori,2015-09-17
81017,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,09/17/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10.0,A,09/17/2015,08/28/2017,Cycle Inspection / Re-inspection,ai fiori,2015-09-17
68723,41540906,AI FIORI,MANHATTAN,400,5 AVENUE,10018.0,2126138660,Italian,03/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,03/22/2016,08/28/2017,Cycle Inspection / Initial Inspection,ai fiori,2016-03-22
